Date,company name,open,high,low,closing,avg_price_1,ROC_7,std_price_8,avg_volume_16,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/1/2023,Newmont Corporation,47.59,47.6,46.65,47.2,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Agnico Eagle Mine,52.17,52.405,51.55,51.99,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Barrick Gold Cor,17.31,17.335,17.04,17.18,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Wheaton Precious Metals Corp.,39.75,39.81,38.81,39.08,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Franco-Nevada Corporation,137.43,137.43,135.19,136.48,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Gold Fields Limited,10.49,10.53,10.24,10.35,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,AngloGold Ashant,19.39,19.5189,19.15,19.42,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Kinross Gold Corporation,4.13,4.135,4.04,4.09,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Alamos Gold Inc.,10.11,10.165,10.01,10.11,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Harmony Gold Mining Company Limited,3.43,3.455,3.32,3.4,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Pan American Silver Corp.,16.7,16.775,16.195,16.34,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Endeavour Mining plc,3.3,3.31,3.21,3.24,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Osisko Gold Royalties Ltd,12.04,12.11,11.96,12.07,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Eldorado Gold Corporation,8.32,8.39,8.26,8.36,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,IAMGOLD Corporation,2.57,2.61,2.525,2.58,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Coeur Mining, Inc.",3.48,3.525,3.32,3.36,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Equinox Gold Corp.,3.3,3.3,3.21,3.28,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Orla Mining Ltd.,4.11,4.13,4.01,4.04,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Sandstorm Gold Ltd.,5.24,5.27,5.17,5.26,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Centerra Gold Inc.,5.24,5.24,5.07,5.18,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Seabridge Gold Inc.,12.31,12.6,12.17,12.58,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,DRDGOLD Limited,7.26,7.47,7.2,7.4,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Caledonia Mining Corporation Plc,12.84,12.84,12.15,12.4,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Idaho Strategic Resources, Inc.",5.93,5.93,5.7,5.7,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Contango Ore, Inc.",22.92,22.92,22.92,22.92,0,0,0,0,1819.7,0,0,0,0,0,0,0,0,0,0,0,0
