Date,company name,open,high,low,closing,avg_price_1,std_price_2,avg_volume_30,ROC_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/3/2023,Osisko Gold Royalties Ltd,-1.232425549,-1.154359564,-1.175986488,-1.230975176,-1.347768695,-0.737993925,0,-0.122573112,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Eldorado Gold Corporation,-1.403733984,-1.213364498,-1.369472423,-1.435641767,-1.545505933,-0.820945225,0,-0.33106302,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,IAMGOLD Corporation,-0.029612583,0.2982888501909366,-0.025959094,-0.207183741,0.008525106,-0.822139185,0,-0.000825465,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Coeur Mining, Inc.",0.7142611419689234,0.8415943377604547,0.7266237605447251,0.6259225660642482,0.5534326664093558,-0.860249877,0,-0.00958331,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Equinox Gold Corp.,-2.588814072,-2.157080379,-2.501788078,-2.159820097,-2.744033175,-0.778079429,0,-0.169753937,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Orla Mining Ltd.,0.16107433462535026,0.028961046,0.14063598846620373,0.10653678615792739,-0.065170852,-0.753118383,0,0.15973334000318926,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Sandstorm Gold Ltd.,0.1912224628239853,0.43404325408450434,0.37165467113411055,0.372997694,-0.017244979,-0.805169899,0,0.102072548,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Centerra Gold Inc.,-1.085830507,-1.079719827,-1.049134047,-1.040754707,-1.341330062,-0.757303931,0,-0.052160064,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Seabridge Gold Inc.,0.34264056407356214,0.4988076809609777,0.38633953868729115,0.3298865919152774,0.205731994,-0.78849126,0,0.040875644,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,DRDGOLD Limited,-1.324113434,-1.206145695,-1.218477123,-1.176397376,-1.397186115,-0.831430668,0,-0.054583249,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Caledonia Mining Corporation Plc,0.059857149140886995,-0.015851637,0.15803329103116676,0.027287549,-0.172275443,-0.759039689,0,0.030758872,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Idaho Strategic Resources, Inc.",1.3664859654109238,1.099352917531017,0.9245366340537716,0.6798783581147851,0.6233536864232351,-0.757843621,0,-0.127797903,-1.707209101,1,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Contango Ore, Inc.",-0.048236362,-0.155682669,-0.010168765,-0.11826056,-0.049836956,-0.534562593,0,0.074096355,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Newmont Corporation,1.516425828,1.630959309,1.594643366,1.676006838,1.277023783,3.314010303,0,0.1997043,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Agnico Eagle Mine,0.929866919,1.06741073,1.052886962,1.157736868,0.64766743,1.692925759,0,-0.018534719,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Barrick Gold Cor,0.655777158,1.156964017,0.784292181,1.162496667,0.410610474,2.3610171,0,0.027247319,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Wheaton Precious Metals Corp.,-1.14395932,-0.959070454,-1.002788443,-0.959235659,-1.402587015,2.076167969,0,-0.149128218,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Franco-Nevada Corporation,0.281625706,0.203057195,0.208019342,0.304679549,-0.004140003,0.302531987,0,0.276607587,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Gold Fields Limited,-1.141552482,-1.010519082,-1.060513597,-0.930592603,-1.322010484,1.052423698,0,-0.19329093,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,AngloGold Ashant,0.083070104,0.16166123742683786,0.1263977600353914,0.2300953016458995,-0.134064322,1.1992873212474122,0,0.009313705,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Kinross Gold Corporation,-0.949803373,-0.721601611,-0.857498857,-0.657095047,-1.115189463,1.7394507683340241,0,-0.230375986,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Alamos Gold Inc.,-1.498275985,-1.248938785,-1.432016102,-1.201026394,-1.646227106,0.7549597435111585,0,-0.260735719,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Harmony Gold Mining Company Limited,-0.8800882,-0.840893441,-0.872081228,-0.771079466,-1.096055662,0.5213809699086911,0,-0.331205715,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Pan American Silver Corp.,1.024864355266199,1.1396405956926832,1.154939384423128,1.2625347532822213,0.7550197054450017,2.4070360876220023,0,0.069956261,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Endeavour Mining plc,0.6042838374621395,0.6688846324330151,0.6074922283554806,0.7812299581352047,0.45760576168233735,-0.134463012,0,0.2196265785698624,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
