Date,company name,open,high,low,closing,avg_price_1,std_price_2,ROC_27,avg_volume_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/1/2023,Pan American Silver Corp.,0.4314585678333243,0.2884823316912698,0.2708789908560668,0.17117115371454017,0,0,0.063807375,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Endeavour Mining plc,0.4908400932843141,0.39929728576343687,0.4590417788523767,0.39701417733977884,0,0,0.2130303680912483,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Osisko Gold Royalties Ltd,-1.371859724,-1.43010755,-1.32430467,-1.349905065,0,0,-0.117618877,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Eldorado Gold Corporation,-1.561924388,-1.625421562,-1.495064909,-1.542922685,0,0,-0.311764825,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,IAMGOLD Corporation,-0.029612583,-0.07988189,-0.007584905,0.009007989,0,0,-0.002304894,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Coeur Mining, Inc.",0.7502909445848724,0.6893475895941359,0.6330383636024418,0.5530675611726065,0,0,-0.015526536,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Equinox Gold Corp.,-2.686343395,-2.876000413,-2.721486717,-2.748303441,0,0,-0.161032185,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Orla Mining Ltd.,0.05960726,-0.037971149,0.022644385,-0.06126672,0,0,0.15408926589178293,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Sandstorm Gold Ltd.,-0.063105636,-0.167857747,-0.029235576,-0.015769315,0,0,0.096595174,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Centerra Gold Inc.,-1.255914982,-1.397434324,-1.373829465,-1.343083452,0,0,-0.05338501,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Seabridge Gold Inc.,-0.020472734,0.055427888,0.038633698,0.20645886685138212,0,0,0.044701030091248886,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,DRDGOLD Limited,-1.513257915,-1.454014131,-1.445391113,-1.394217848,0,0,-0.043009897,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Caledonia Mining Corporation Plc,0.11139250277703677,-0.071546577,-0.117718004,-0.17170694,0,0,0.033074181,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Idaho Strategic Resources, Inc.",1.0695808541406033,0.804215289,0.9245366340537716,0.615448334,0,0,-0.112249025,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,"Contango Ore, Inc.",-0.045994242,-0.153481096,0.063675235,-0.046728182,0,0,0.068255309,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Newmont Corporation,0.889574543,0.765344238,0.815628856,0.790777932,0.788759624,0,0.185770896,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Agnico Eagle Mine,0.281464366,0.177356129,0.27952332,0.225654171,0.228374281,0,-0.018956082,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Barrick Gold Cor,0.041759844,-0.072758275,-0.007123923,-0.056910943,-0.055220574,0,0.02130878,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Wheaton Precious Metals Corp.,-1.646941612,-1.806427971,-1.800696466,-1.885274405,-1.884040887,0,-0.14411335,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Franco-Nevada Corporation,-0.054141305,-0.172040709,-0.11488728,-0.130543348,-0.137210594,0,0.258386927,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Gold Fields Limited,-1.484437841,-1.546364758,-1.543426582,-1.571868712,-1.568837664,0,-0.183414217,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,AngloGold Ashant,-0.357085874,-0.404911621,-0.349963181,-0.354427962,-0.355678835,0,0.014902468711301103,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Kinross Gold Corporation,-1.356688387,-1.464215302,-1.386521291,-1.433661921,-1.434247522,0,-0.221791512,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Alamos Gold Inc.,-1.849519084,-1.947750859,-1.826766205,-1.876875035,-1.874687942,0,-0.242993082,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Harmony Gold Mining Company Limited,-1.203959289,-1.252453845,-1.271859069,-1.246414664,-1.246958613,0,-0.308715763,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Pan American Silver Corp.,0.4314585678333243,0.2884823316912698,0.2708789908560668,0.17117115371454017,0.17139375410568766,0,0.063807375,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Endeavour Mining plc,0.4908400932843141,0.39929728576343687,0.4590417788523767,0.39701417733977884,0.3934207186024739,0,0.2130303680912483,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Osisko Gold Royalties Ltd,-1.371859724,-1.43010755,-1.32430467,-1.349905065,-1.347768695,0,-0.117618877,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Eldorado Gold Corporation,-1.561924388,-1.625421562,-1.495064909,-1.542922685,-1.545505933,0,-0.311764825,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,IAMGOLD Corporation,-0.029612583,-0.07988189,-0.007584905,0.009007989,0.008525106,0,-0.002304894,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,"Coeur Mining, Inc.",0.7502909445848724,0.6893475895941359,0.6330383636024418,0.5530675611726065,0.5534326664093558,0,-0.015526536,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Equinox Gold Corp.,-2.686343395,-2.876000413,-2.721486717,-2.748303441,-2.744033175,0,-0.161032185,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Orla Mining Ltd.,0.05960726,-0.037971149,0.022644385,-0.06126672,-0.065170852,0,0.15408926589178293,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Sandstorm Gold Ltd.,-0.063105636,-0.167857747,-0.029235576,-0.015769315,-0.017244979,0,0.096595174,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Centerra Gold Inc.,-1.255914982,-1.397434324,-1.373829465,-1.343083452,-1.341330062,0,-0.05338501,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Seabridge Gold Inc.,-0.020472734,0.055427888,0.038633698,0.20645886685138212,0.205731994,0,0.044701030091248886,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,DRDGOLD Limited,-1.513257915,-1.454014131,-1.445391113,-1.394217848,-1.397186115,0,-0.043009897,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Caledonia Mining Corporation Plc,0.11139250277703677,-0.071546577,-0.117718004,-0.17170694,-0.172275443,0,0.033074181,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,"Idaho Strategic Resources, Inc.",1.0695808541406033,0.804215289,0.9245366340537716,0.615448334,0.6233536864232351,0,-0.112249025,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,"Contango Ore, Inc.",-0.045994242,-0.153481096,0.063675235,-0.046728182,-0.049836956,0,0.068255309,0,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Newmont Corporation,1.031188786,1.19866036,1.125536536,1.27960503,0.788759624,-0.823688004,0.185770896,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Agnico Eagle Mine,0.457808157,0.636911744,0.61057723,0.644957849,0.228374281,-0.798806322,-0.018956082,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Barrick Gold Cor,0.209883633,0.365664455,0.296128976,0.409333143,-0.055220574,-0.770414745,0.02130878,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Wheaton Precious Metals Corp.,-1.598265907,-1.493309193,-1.532547048,-1.404508645,-1.884040887,-0.823028114,-0.14411335,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Franco-Nevada Corporation,-0.045305331,0.103508919,0.06986029,0.00184686,-0.137210594,-0.820818466,0.258386927,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Gold Fields Limited,-1.458461677,-1.322236999,-1.394837972,-1.324819719,-1.568837664,-0.687537122,-0.183414217,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,AngloGold Ashant,-0.195395923,-0.124441516,-0.114051096,-0.132608877,-0.355678835,-0.734297317,0.014902468711301103,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Kinross Gold Corporation,-1.321307082,-1.053593614,-1.192546399,-1.115975472,-1.434247522,-0.830676489,-0.221791512,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Alamos Gold Inc.,-1.732438051,-1.598344822,-1.623949504,-1.648547791,-1.874687942,-0.820048481,-0.242993082,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Harmony Gold Mining Company Limited,-1.154132968,-1.049744989,-1.081488668,-1.096308812,-1.246958613,-0.734791483,-0.308715763,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Pan American Silver Corp.,0.5029532410180089,0.7505396750063241,0.6853969347277609,0.7555787586443318,0.17139375410568766,-0.803128868,0.063807375,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Endeavour Mining plc,0.5232525916208356,0.6530265532171579,0.5580087451877795,0.4610501408056826,0.3934207186024739,-0.75651554,0.2130303680912483,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Osisko Gold Royalties Ltd,-1.232425549,-1.154359564,-1.175986488,-1.230975176,-1.347768695,-0.737993925,-0.117618877,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Eldorado Gold Corporation,-1.403733984,-1.213364498,-1.369472423,-1.435641767,-1.545505933,-0.820945225,-0.311764825,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,IAMGOLD Corporation,-0.029612583,0.2982888501909366,-0.025959094,-0.207183741,0.008525106,-0.822139185,-0.002304894,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Coeur Mining, Inc.",0.7142611419689234,0.8415943377604547,0.7266237605447251,0.6259225660642482,0.5534326664093558,-0.860249877,-0.015526536,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Equinox Gold Corp.,-2.588814072,-2.157080379,-2.501788078,-2.159820097,-2.744033175,-0.778079429,-0.161032185,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Orla Mining Ltd.,0.16107433462535026,0.028961046,0.14063598846620373,0.10653678615792739,-0.065170852,-0.753118383,0.15408926589178293,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Sandstorm Gold Ltd.,0.1912224628239853,0.43404325408450434,0.37165467113411055,0.372997694,-0.017244979,-0.805169899,0.096595174,0,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
